F5SPECS,C1FMOTOR,C4R4RSCL,C4R4MSCL,P4ATTENI,P4SOLVE,P4SADLON,T4EXTERN,T4INTERN,GENDER,WKWHITE,WKSESL
NA,4,64.21,31.45,NA,NA,NA,2.2,1,1,NA,NA
2,6,59.11,50.88,2,2,1,1.8,2,1,1,-0.17
2,7,51.4,53.92,2,2,1.75,2,1,1,1,0.2
2,7,56.55,36.47,1,1,1.75,2.2,1,2,1,0.7
NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,0.8
1,2,55.71,48.43,3,4,1.5,2.6,2.5,1,1,-0.06
2,7,106.25,65.54,2,2,1.75,1.4,1.75,1,1,-0.05
NA,1,64.57,54.26,3,3,2.5,2.8,2.5,2,1,-0.5
2,8,96.53,100.3,2,1,1.25,1,1.25,1,1,0.45
NA,6,77.67,52.74,2,2,1.25,2.2,1.75,2,1,-0.43
2,9,63.15,75.44,2,2,1.75,1.6,2,1,1,0.88
2,6,75.98,40.9,2,2,1,1.4,1.25,1,1,0.08
1,3,42.48,42.48,NA,NA,NA,2.8,1.5,1,1,-0.16
