Special_Education,Fine_Motor_Skill,Reading_Score,Math_Score,Attention_level,Problem_Solving,SadLonely,Externalizing,Internalizing,Gender,White,SES
0.0,8.0,78.39,58.95,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-0.35
0.0,7.0,111.28,62.93,1.0,1.0,1.25,2.2,2.0,2.0,1.0,-0.46
0.0,4.0,135.81,78.16,1.0,1.0,1.5,1.0,1.25,2.0,1.0,0.84
0.0,7.0,78.86,62.69,1.0,1.0,1.25,2.0,1.5,2.0,1.0,0.14
0.0,7.0,68.52,64.34,2.0,2.0,1.25,1.0,2.0,1.0,1.0,0.44
0.0,5.0,78.07,76.45,2.0,2.0,1.25,1.0,1.67,1.0,1.0,0.35
0.0,7.0,109.82,86.75,1.0,2.0,2.0,1.0,1.75,2.0,1.0,0.61
0.0,4.0,38.48,37.41,2.0,2.0,1.25,1.0,2.25,1.0,1.0,-0.3
1.0,7.0,57.53,60.66,1.0,2.0,1.25,1.6,1.0,1.0,1.0,0.01
0.0,1.0,69.45,69.41,2.0,1.0,2.0,1.2,1.75,1.0,2.0,-0.93
0.0,5.0,66.31,47.8,1.0,1.0,2.0,1.0,1.75,2.0,2.0,1.76
1.0,7.0,77.82,52.09,2.0,2.0,1.25,1.4,1.75,1.0,1.0,-0.41
0.0,6.0,85.59,56.15,2.0,2.0,1.25,3.4,1.0,1.0,2.0,-0.83
0.0,7.0,73.08,56.87,2.0,2.0,1.75,1.2,1.25,2.0,2.0,-0.65
0.0,5.0,65.72,40.07,2.0,2.0,1.75,1.4,1.5,2.0,2.0,-0.51
0.0,5.0,66.38,61.6,2.0,1.0,1.75,1.0,2.0,1.0,2.0,-0.61
1.0,0.0,39.24,26.08,4.0,4.0,1.25,1.6,1.75,2.0,1.0,-0.71
0.0,2.0,58.34,50.53,2.0,2.0,2.25,1.0,2.25,2.0,2.0,-0.67
0.0,3.0,66.37,43.21,2.0,2.0,1.0,1.8,1.0,1.0,1.0,-0.51
0.0,7.0,88.11,56.0,1.0,1.0,1.25,1.25,1.25,2.0,1.0,-0.59
0.0,7.0,70.76,58.65,1.0,1.0,2.0,1.4,1.25,1.0,2.0,-0.75
0.0,4.0,65.51,63.43,2.0,2.0,2.25,1.0,1.75,1.0,1.0,-0.26
0.0,4.0,54.07,42.28,2.0,2.0,2.25,2.0,2.0,2.0,2.0,-2.76
0.0,5.0,84.18,55.66,2.0,2.0,1.5,1.8,1.25,2.0,1.0,0.02
1.0,0.0,31.26,18.81,2.0,3.0,2.0,2.0,1.75,1.0,2.0,-0.43
0.0,7.0,58.87,45.79,3.0,2.0,1.5,1.6,1.5,1.0,2.0,-0.97
0.0,8.0,125.94,70.02,2.0,2.0,2.0,1.0,1.25,2.0,2.0,-0.79
0.0,7.0,43.5,34.16,2.0,2.0,1.0,2.8,1.25,1.0,2.0,-0.26
0.0,1.0,72.5,68.11,1.0,2.0,1.0,1.2,1.5,1.0,1.0,-0.23
0.0,3.0,71.02,64.31,2.0,2.0,1.5,1.4,2.25,1.0,2.0,-0.32
0.0,5.0,86.11,64.03,2.0,2.0,1.0,1.2,1.0,1.0,2.0,-0.68
